T,tau0,units_per_layer,rnn_func,batch_size,epochs,results
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,14.0525
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,3,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,3,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,3,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,3,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,5,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,5,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,5,"[10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,5,"[15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
8,7,"[5, 10, 15]",<class 'keras.layers.rnn.lstm.LSTM'>,100,500,
8,7,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,5,500,
8,7,"[10, 15, 20]",<class 'keras.layers.rnn.lstm.LSTM'>,50,500,
